ens_id	fam_age	len_age	rate	root_boot	corr_age	corr_len_age	corr_rate	corr_root_boot
ENSG00000000003	940.0	940	0.000730506382978724	0	92.4333333333334	92.4333333333334	3.70753696357735e-005	100
ENSG00000000005	400.1	399.281878413694	0.00112307423144214	0	400.1	399.281878413694	0.00112307423144214	0
ENSG00000000419	3556.3	3556.3	0.00034514692236313	0	163.884210526316	163.884210526316	0.000342247735885413	87
ENSG00000000457	1530.3	1528.75580509051	0.0018250532575312	0	92.4333333333334	89.5130457556916	0.000625445366029571	100
ENSG00000000460	940.0	938.460729705701	0.00313265319148936	0	742.888888888889	739.643898108559	0.000303571642237511	99
ENSG00000000938	940.0	938.035560884514	0.00114660638297872	0	937.457142857143	935.347283596765	0.00104582274237298	1
ENSG00000000971	937.457142857143	937.4571247081	106.671864336351	0	6.08333333333333	6.00759680351202	0.0237877808219178	2
ENSG00000001036	3556.3	3551.66070068088	0.000411583387228299	0	92.4333333333334	90.691103888287	0.00089879913451136	98
ENSG00000001084	2269.5	2268.92767193252	0.000781313064551663	0	14.85	12.7337052971229	0.00025043771043771	98
ENSG00000001167	1369.03846153846	1369.03846153846	0.00344608725944655	0	0	0	0	0
ENSG00000001460	1362.0	1356.85634140756	0.000431575624082232	0	163.884210526316	161.053818521096	0.000529739867685786	76
ENSG00000001461	2269.5	2269.3667075488	0.00101538532716457	0	92.4333333333334	92.2180628810193	0.00012611251352326	100
ENSG00000001497	2269.5	2269.5	0.000314080634500991	0	0	0	0	0
ENSG00000001561	2535.8	2530.9811548732	0.00139223519204985	0	400.1	394.276019619131	0.000505841039740065	99
ENSG00000001617	940.0	939.550007108677	0.00240059680851064	0	92.4333333333334	91.002090997665	0.000272412549585287	100
ENSG00000001626	1381.2	1380.21618688896	0.000994517810599478	0	313.411111111111	311.40501402671	0.000251675825149786	72
ENSG00000001629	1530.3	1530.3	0.00646485198980592	0	163.884210526316	163.884210526316	0.000147671334061276	70
ENSG00000001630	2535.8	2534.455060272	0.000339033441123117	0	163.884210526316	162.563215121221	9.20466953561565e-005	97
ENSG00000001631	937.457142857143	937.034171790294	0.00244981119136875	0	0	0	0	0
ENSG00000002016	2269.5	2261.27020500175	0.000275848865388852	0	163.884210526316	158.892579208442	0.000342632153638641	80
ENSG00000002330	400.1	400.1	0.00186136465883529	0	361.807692307692	361.807692307692	0.00191354416923568	100
ENSG00000002549	3556.3	3553.66826551791	0.00115908359812164	0	0	0	0	0
ENSG00000002586	313.411111111111	312.237259820385	0.00208982380260219	0	14.85	12.1080508474576	0.000568754208754209	100
ENSG00000002587	940.0	938.173774763716	0.00173537127659574	0	361.807692307692	357.043662924657	0.000366584245774423	86
