uniprot_id	refseq_id	fam_age	len_age	rate
A0A183	NM_001128600.1	92.3975	56.2557763161175	0.00356089721042236
A0A539	NA	314.52	69.1593700941824	0.00951187205901056
A0A542	NA	314.52	95.3822032789926	0.00951187205901056
A0A543	NA	314.52	92.6325328015212	0.00951187205901056
A0A576	NA	314.52	56.5164081613723	0.00951187205901056
A0A577	NA	314.52	65.7133734400933	0.00951187205901056
A0A578	NA	314.52	65.1061328359742	0.00951187205901056
A0A580	NA	314.52	61.4024652803774	0.00951187205901056
A0A582	NA	314.52	61.4723792208997	0.00951187205901056
A0A583	NA	314.52	86.0516617383498	0.00951187205901056
A0A585	NA	314.52	94.019037729286	0.00951187205901056
A0A586	NA	314.52	93.8047113870291	0.00951187205901056
A0A592	NA	314.52	59.2387799020078	0.00951187205901056
A0A594	NA	314.52	59.8835302208633	0.00951187205901056
A0A596	NA	314.52	78.9797259930895	0.00951187205901056
A0A597	NA	314.52	61.6678465121364	0.00951187205901056
A0A598	NA	314.52	55.9868960216789	0.00951187205901056
A0A599	NA	314.52	51.029778831979	0.00951187205901056
A0A5A0	NA	314.52	55.9868960216789	0.00951187205901056
A0A5A1	NA	314.52	61.9656319696814	0.00951187205901056
A0A5B5	NA	314.52	91.5494397885119	0.00951187205901056
A0A5B6	NA	314.52	80.2887108437327	0.00951187205901056
A0A5B7	NA	170.488235294118	170.488235294118	0.00654236931994616
A0A5C0	NA	314.52	314.52	0.00951187205901056
A0A5C1	NA	314.52	77.3359669384253	0.00951187205901056
A0A5C2	NA	314.52	71.0200603324047	0.00951187205901056
A0AUP3	NA	41.5769230769231	11.8137695265479	0.0117049546716004
A0AUX0	NM_000480.2/NM_001025389.1/NM_001025390.1/NM_001172430.1/NM_001172431.1	1422.36666666667	168.205239310673	0.00206631178083475
A0AV56	NM_001201338.1/NM_001201339.1/NM_001201340.1/NM_002967.3	442.35	30.7509675802605	0.00493387362947892
A0AV96	NM_001098634.1/NM_019027.3/XM_005248103.1/XM_005248107.1/XM_005248108.1/XM_005248109.2/XM_005248111.1	940.0	281.489097920155	0.00199541489361702
A0AVF1	NM_001144920.2/NM_001144923.2/NM_024926.3	1530.3	506.599917137915	0.00156758086649677
A0AVG3	NA	170.488235294118	165.938898890403	0.00443740882586343
A0AVI4	NM_001127266.1/NM_138385.3	940.0	268.049307622197	0.00282370744680851
A0EJG6	NM_001014809.2/NM_001288661.1/NM_001288662.1/NM_001313.4	3556.3	3239.88385099104	0.00102830751061497
A0FGR9	NM_031913.3	722.5	119.150614397362	0.00405077923875432
A0JLT2	NM_153450.1	788.269565217391	147.657264275038	0.00250229247333179
A0PG75	NM_001085420.1	940.0	312.952954626414	0.0032913914893617
A0PJ55	NA	940.0	NA	NA
A0PJ59	NA	442.35	102.382405780377	0.0020527184356279
A0PJ86	NA	788.269565217391	92.2308158161665	0.00521075172915908
A0PJJ7	NM_000620.4/NM_001204213.1/NM_001204214.1/NM_001204218.1	940.0	NA	NA
A0PJK8	NM_182706.4	907.777777777778	114.844789509937	0.00208623414932681
A0PJM3	NA	442.35	63.5389940346913	0.00318992426811348
A0PJW6	NM_001080501.2	907.777777777778	107.315081889712	0.00378054859241126
A0PJX2	NM_080628.1	1387.53571428571	146.804914896135	0.0020393111116831
A0PJX4	NM_001080505.1	442.35	54.6839714837106	0.00460197581100938
A0PJX8	NM_001013641.2	442.35	46.5191888865272	0.00422214083870238
